b_form,S,energy_mev,radius_fm,prob_bare,prob_dressed
1.0,30.0,0.05179138,23.10715149,0.99999747,2.53e-06
1.0,32.22222222222222,0.05501307,22.43244876,0.99999669,3.31e-06
1.0,34.44444444444444,0.01451735,43.29481364,0.99999934,6.6e-07
1.0,36.666666666666664,0.05173462,23.07443904,0.99999575,4.25e-06
1.0,38.888888888888886,0.07452156,17.97165176,0.99996456,3.544e-05
1.0,41.111111111111114,0.06106998,19.18257252,0.99995296,4.704e-05
1.0,43.333333333333336,0.03938984,23.00572308,0.99995096,4.904e-05
1.0,45.55555555555556,0.05272108,17.0338977,0.99978691,0.00021309
1.0,47.77777777777778,0.02354782,16.00941976,0.9993549,0.0006451
1.0,50.0,-0.08418199,7.7679848,0.99673648,0.00326352
1.12,40.0,-0.14650053,6.18360638,0.99515052,0.00484948
1.12,42.22222222222222,-0.56922491,3.58681791,0.99021291,0.00978709
1.12,44.44444444444444,-1.24869726,2.62782952,0.98505954,0.01494046
1.12,46.666666666666664,-2.16711383,2.16622681,0.97977235,0.02022765
1.12,46.776834005786185,-2.21685857,2.1512688,0.97952295,0.02047705
1.12,48.888888888888886,-3.31458378,1.89510094,0.97437908,0.02562092
1.12,51.111111111111114,-4.69071758,1.71677223,0.96885019,0.03114981
1.12,53.333333333333336,-6.27574034,1.5924594,0.96318779,0.03681221
1.12,55.55555555555556,-8.05531232,1.50085481,0.95756125,0.04243875
1.12,57.77777777777778,-10.03518401,1.43033724,0.95179352,0.04820648
1.12,60.0,-12.18288384,1.37392051,0.94607212,0.05392788
1.24,36.776834005786185,-1.56165603,2.41090553,0.98133985,0.01866015
1.24,37.9413024025448,-2.18097901,2.16251411,0.97758217,0.02241783
1.24,38.01189027364785,-2.21740338,2.14905215,0.97742373,0.02257627
1.24,38.999056228008406,-2.82564524,1.99221393,0.97412779,0.02587221
1.24,41.22127845023063,-4.42560228,1.74535656,0.96673856,0.03326144
1.24,43.44350067245285,-6.34099572,1.58954333,0.95919383,0.04080617
1.24,45.66572289467507,-8.55109853,1.48136752,0.95155694,0.04844306
1.24,47.8879451168973,-11.04477516,1.40302411,0.94393319,0.05606681
1.24,50.11016733911952,-13.7946238,1.34290401,0.93626493,0.06373507
1.24,52.33238956134174,-16.78914396,1.2957287,0.92873781,0.07126219
1.24,54.55461178356396,-20.03206238,1.25751652,0.92108687,0.07891313
1.24,56.776834005786185,-23.45086632,1.22642807,0.91405631,0.08594369
1.36,27.9413024025448,-0.3891527,4.10620409,0.99030374,0.00969626
1.36,30.16352462476702,-1.33712258,2.56037189,0.98128505,0.01871495
1.36,31.51281998239701,-2.16600417,2.16843224,0.97568655,0.02431345
1.36,31.59295486187962,-2.22399943,2.14901228,0.97530056,0.02469944
1.36,32.38574684698924,-2.7977655,1.99835561,0.97199813,0.02800187
1.36,34.607969069211464,-4.74599871,1.71280636,0.96234412,0.03765588
1.36,36.83019129143369,-7.12512763,1.54545474,0.95256245,0.04743755
1.36,39.05241351365591,-9.92149863,1.43498435,0.94278904,0.05721096
1.36,41.274635735878135,-13.10723029,1.35620799,0.93292058,0.06707942
1.36,43.49685795810036,-16.64282445,1.29839696,0.92308354,0.07691646
1.36,45.71908018032258,-20.50063666,1.25291274,0.91348789,0.08651211
1.36,47.9413024025448,-24.66803398,1.21736881,0.90403598,0.09596402
1.48,21.51281998239701,0.02098952,15.45024696,0.99893296,0.00106704
1.48,23.73504220461923,-0.42474291,3.97322022,0.98903252,0.01096748
1.48,25.95726442684145,-1.62590707,2.38954343,0.97754981,0.02245019
1.48,26.657579017295447,-2.14923717,2.17172369,0.9738621,0.0261379
1.48,26.740358266280484,-2.21436496,2.15219987,0.97345038,0.02654962
1.48,28.179486649063676,-3.52376186,1.86248697,0.96566778,0.03433222
1.48,30.401708871285898,-6.07109595,1.60708183,0.95337033,0.04662967
1.48,32.62393109350812,-9.19523169,1.45862008,0.94105469,0.05894531
1.48,34.84615331573034,-12.85216862,1.36173503,0.92875731,0.07124269
1.48,37.06837553795256,-16.98782164,1.29323193,0.91661594,0.08338406
1.48,39.290597760174784,-21.58273244,1.2431246,0.90455682,0.09544318
1.48,41.512819982397005,-26.56839563,1.20467791,0.89297207,0.10702793
1.6,16.657579017295447,0.02902288,27.35175706,0.99994433,5.567e-05
1.6,18.87980123951767,-0.01655641,14.04346824,0.9975624,0.0024376
1.6,21.10202346173989,-0.77903209,3.15115815,0.98384839,0.01615161
1.6,22.916703490766274,-2.1535176,2.17200543,0.97199227,0.02800773
1.6,22.989424911777178,-2.22232143,2.14948109,0.9715576,0.0284424
1.6,23.324245683962115,-2.54851197,2.05470641,0.96928764,0.03071236
1.6,25.546467906184336,-5.19803303,1.67198434,0.95441963,0.04558037
1.6,27.768690128406558,-8.67030639,1.47725872,0.93919151,0.06080849
1.6,29.990912350628783,-12.85219224,1.36167335,0.92417203,0.07582797
1.6,32.213134572851004,-17.67196332,1.28453184,0.90932789,0.09067211
1.6,34.435356795073226,-23.06822701,1.2299994,0.89498003,0.10501997
1.6,36.65757901729545,-28.99035823,1.18927321,0.8809792,0.1190208
