b_range,b_form,S,iteration,energy_mev,kinetic_mev,radius_fm,basis_size,prob_bare,prob_dressed,execution_time_s
2.25,1.0,60.0,-1.00000000,-1.60237685,15.38973248,2.37909539,77.00000000,0.98431406,0.01568594,290.89700000
2.25,1.0,60.22222222222222,-1.00000000,-1.67165125,15.73048819,2.34051947,77.00000000,0.98396090,0.01603910,328.59300000
2.25,1.0,60.44444444444444,-1.00000000,-1.74555042,16.06979395,2.30602330,77.00000000,0.98356576,0.01643424,315.11000000
2.25,1.0,60.666666666666664,-1.00000000,-1.81983808,16.41250197,2.27802340,77.00000000,0.98319200,0.01680800,271.28200000
2.25,1.0,60.888888888888886,-1.00000000,-1.89618759,16.76070801,2.24465287,77.00000000,0.98280736,0.01719264,286.68800000
2.25,1.0,61.111111111111114,-1.00000000,-1.97405802,17.11710730,2.21579887,77.00000000,0.98241676,0.01758324,282.28500000
2.25,1.0,61.333333333333336,-1.00000000,-2.05438623,17.46884905,2.18388760,77.00000000,0.98203281,0.01796719,287.60300000
2.25,1.0,61.55555555555556,-1.00000000,-2.13498930,17.81771216,2.15468647,77.00000000,0.98164344,0.01835656,271.68900000
2.25,1.0,61.77777777777778,-1.00000000,-2.21656046,18.16585653,2.12903454,77.00000000,0.98126112,0.01873888,262.31300000
2.25,1.0,62.0,-1.00000000,-2.29623745,18.50389621,2.10418842,77.00000000,0.98091498,0.01908502,282.14500000
