b_range,b_form,S,iteration,energy_mev,kinetic_mev,radius_fm,basis_size,prob_bare,prob_dressed
2.4444444444444446,1.4,28.0,-1.00000000,-1.74138907,13.69272965,2.34933544,75.00000000,0.97837020,0.02162980
2.888888888888889,1.4,28.0,-1.00000000,-5.70157354,21.68794187,1.73142752,77.00000000,0.96161380,0.03838620
3.333333333333333,1.4,28.0,-1.00000000,-9.92685025,25.87773665,1.60139904,75.00000000,0.95020857,0.04979143
3.7777777777777777,1.4,28.0,-1.00000000,-13.92204028,28.24694452,1.56733519,77.00000000,0.94140019,0.05859981
4.222222222222222,1.4,28.0,-1.00000000,-17.50088357,29.67918256,1.56747758,77.00000000,0.93472201,0.06527799
4.666666666666666,1.4,28.0,-1.00000000,-20.67685997,30.58359826,1.58365239,74.00000000,0.92942314,0.07057686
5.111111111111111,1.4,28.0,-1.00000000,-23.47519958,31.16882828,1.60724542,69.00000000,0.92514454,0.07485546
5.555555555555555,1.4,28.0,-1.00000000,-25.91238928,31.56204216,1.63430424,68.00000000,0.92174573,0.07825427
6.0,1.4,28.0,-1.00000000,-28.13705927,31.83968529,1.66380481,74.00000000,0.91862423,0.08137577
